Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
RENNES;BAC GENERAL;MORBIHAN;BAC SCIENTIFIQUE;434;540;BAC S;1;1997;1;1;X;80,37037037
RENNES;BAC GENERAL;MORBIHAN;BAC ECONOMIQUE ET SOCIAL;266;333;BAC ES;2;1997;1;1;X;79,87987988
RENNES;BAC GENERAL;MORBIHAN;BAC ECONOMIQUE ET SOCIAL;161;212;BAC ES;1;1997;1;1;X;75,94339623
RENNES;BAC GENERAL;MORBIHAN;BAC ECONOMIQUE ET SOCIAL;126;159;BAC ES;1;1997;1;2;2;79,24528302
NANCY-METZ;BAC GENERAL;MOSELLE;BAC SCIENTIFIQUE;23;29;BAC S;1;1997;1;2;0;79,31034483
NANCY-METZ;BAC GENERAL;MOSELLE;BAC ECONOMIQUE ET SOCIAL;10;13;BAC ES;1;1997;1;2;0;76,92307692
NANCY-METZ;BAC GENERAL;MEUSE;BAC SCIENTIFIQUE;20;25;BAC S;2;1997;1;2;2;80
NANCY-METZ;BAC GENERAL;MEUSE;BAC ECONOMIQUE ET SOCIAL;24;28;BAC ES;2;1997;1;2;2;85,71428571
RENNES;BAC GENERAL;MORBIHAN;BAC LITTERAIRE;260;311;BAC L;2;1997;1;2;2;83,60128617
RENNES;BAC GENERAL;MORBIHAN;BAC LITTERAIRE;47;56;BAC L;1;1997;1;2;2;83,92857143
NANCY-METZ;BAC GENERAL;MOSELLE;BAC SCIENTIFIQUE;3;14;BAC S;2;1997;2;-;-;21,42857143
DIJON;BAC GENERAL;NIEVRE;BAC ECONOMIQUE ET SOCIAL;2;3;BAC ES;2;1997;2;-;-;66,66666667
RENNES;BAC GENERAL;MORBIHAN;BAC ECONOMIQUE ET SOCIAL;1;3;BAC ES;1;1997;5;1;X;33,33333333
NANCY-METZ;BAC GENERAL;MOSELLE;BAC LITTERAIRE;8;23;BAC L;1;1997;2;-;-;34,7826087
DIJON;BAC GENERAL;NIEVRE;BAC ECONOMIQUE ET SOCIAL;12;12;BAC ES;1;1997;1;2;2;100
DIJON;BAC GENERAL;NIEVRE;BAC ECONOMIQUE ET SOCIAL;20;23;BAC ES;2;1997;1;2;2;86,95652174
RENNES;BAC GENERAL;MORBIHAN;BAC LITTERAIRE;7;16;BAC L;2;1997;5;1;X;43,75
CAEN;BAC GENERAL;ORNE;BAC SCIENTIFIQUE;208;294;BAC S;2;1997;1;1;X;70,74829932
CAEN;BAC GENERAL;ORNE;BAC SCIENTIFIQUE;71;107;BAC S;1;1997;1;2;2;66,35514019
CAEN;BAC GENERAL;ORNE;BAC ECONOMIQUE ET SOCIAL;37;42;BAC ES;1;1997;1;2;2;88,0952381
LILLE;BAC GENERAL;PAS-DE-CALAIS;BAC ECONOMIQUE ET SOCIAL;641;983;BAC ES;2;1997;1;1;X;65,20854527
AMIENS;BAC GENERAL;OISE;BAC LITTERAIRE;85;100;BAC L;2;1997;1;2;2;85
AMIENS;BAC GENERAL;OISE;BAC ECONOMIQUE ET SOCIAL;6;12;BAC ES;1;1997;2;-;-;50
CAEN;BAC GENERAL;ORNE;BAC LITTERAIRE;0;6;BAC L;2;1997;2;-;-;0
LILLE;BAC GENERAL;NORD;BAC SCIENTIFIQUE;41;44;BAC S;1;1997;1;2;0;93,18181818
LILLE;BAC GENERAL;NORD;BAC ECONOMIQUE ET SOCIAL;6;7;BAC ES;1;1997;1;2;0;85,71428571
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC ECONOMIQUE ET SOCIAL;67;79;BAC ES;1;1997;1;2;2;84,81012658
CLERMONT-FERRAND;BAC GENERAL;PUY-DE-DOME;BAC ECONOMIQUE ET SOCIAL;99;116;BAC ES;2;1997;1;2;2;85,34482759
BORDEAUX;BAC GENERAL;PYRENEES-ATLANTIQUES;BAC SCIENTIFIQUE;558;734;BAC S;1;1997;1;1;X;76,02179837
TOULOUSE;BAC GENERAL;HAUTES-PYRENEES;BAC LITTERAIRE;45;50;BAC L;1;1997;1;1;X;90
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC ECONOMIQUE ET SOCIAL;143;163;BAC ES;2;1997;1;2;2;87,73006135
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC LITTERAIRE;67;94;BAC L;1;1997;1;1;X;71,27659574
MONTPELLIER;BAC GENERAL;PYRENEES-ORIENTALES;BAC ECONOMIQUE ET SOCIAL;9;19;BAC ES;2;1997;2;-;-;47,36842105
STRASBOURG;BAC GENERAL;BAS-RHIN;BAC LITTERAIRE;8;18;BAC L;2;1997;2;-;-;44,44444444
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC SCIENTIFIQUE;646;824;BAC S;1;1997;1;1;X;78,39805825
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC SCIENTIFIQUE;495;596;BAC S;2;1997;1;1;X;83,05369128
STRASBOURG;BAC GENERAL;HAUT-RHIN;BAC SCIENTIFIQUE;139;155;BAC S;1;1997;1;2;2;89,67741935
